,Restaurant Name,Rating,Review Count,Expected Cost,Price Range,Cuisines,Accepts Credit Cards,Address,Alcohol,Ambience,Attire,Bike Parking,Caters,Delivery,Good For,Good for Groups,Good for Kids,Has TV,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Review Count Num,Clean Rating
202,Lime Leaf,3.0 star rating,189 reviews,$$,$11-30,"['Thai', 'American (New)']",Yes,"128 W 72nd StNew York, NY 10023",Full Bar,Casual,Casual,Yes,No,Yes,Dinner,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,189.0,3.0
203,Lin?s Garden Chinese & Thai,1.0 star rating,1 review,,,"['Chinese', 'Thai']",,"8523 3rd AveBrooklyn, NY 11209",,,,,,,,,,,,,,,,,,,1.0,1.0
204,Little Basil,3.5 star rating,347 reviews,$$,$11-30,['Thai'],Yes,"153 E 26th StNew York, NY 10010",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,347.0,3.5
205,Little Thai Kitchen - Rye,3.5 star rating,9 reviews,$$$,$31-60,['Thai'],Yes,"2 Purchase StRye, NY 10580",,,Casual,,,,,Yes,Yes,Yes,Quiet,No,,Yes,Yes,Yes,,,9.0,3.5
206,Little Thai Kitchen,3.0 star rating,85 reviews,$$,,['Thai'],Yes,"13 Popham RdScarsdale, NY 10583",No,Casual,Casual,Yes,Yes,Yes,Dinner,No,Yes,No,Average,No,Street,Yes,No,Yes,,No,85.0,3.0
207,Liu Garden,3.0 star rating,16 reviews,$,Under $10,"['Thai', 'Chinese']",Yes,"560 Wilson AveBrooklyn, NY 11207",No,,Casual,,No,Yes,,Yes,Yes,No,Quiet,No,,Yes,No,No,,No,16.0,3.0
208,Long Grain Thai & Japanese,3.0 star rating,11 reviews,,,"['Japanese', 'Thai']",,"710 Amsterdam AveNew York, NY 10025",,,,,,Yes,,Yes,Yes,,,,,Yes,No,,,,11.0,3.0
209,Look By Plant Love House,4.0 star rating,179 reviews,$$,$11-30,"['Thai', 'Desserts']",No,"622 Washington AveBrooklyn, NY 11238",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner, Dessert",Yes,Yes,No,Average,No,Street,Yes,No,Yes,,No,179.0,4.0
210,Loong Xin Asian cuisine,4.0 star rating,8 reviews,$,,"['Japanese', 'Thai', 'Chinese']",Yes,"670 E 233rd StEast Bronx, NY 10466",No,,Casual,No,Yes,Yes,,No,Yes,No,Quiet,No,,Yes,No,No,,No,8.0,4.0
211,Lotus Thai Cuisine,4.0 star rating,174 reviews,$$,$11-30,['Thai'],Yes,"7007 Park AveGuttenberg, NJ 07093",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,Free,174.0,4.0
212,Love Mamak,4.0 star rating,2104 reviews,$$,$11-30,"['Thai', 'Malaysian', 'Vietnamese']",Yes,"174 2nd AveNew York, NY 10003",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,2104.0,4.0
213,Lovely Day,3.5 star rating,262 reviews,$$,,"['Thai', 'Breakfast & Brunch', 'Irish']",Yes,"196 Elizabeth StNew York, NY 10012",Full Bar,Hipster,Casual,Yes,No,Yes,Lunch,No,No,No,Average,No,Street,Yes,No,Yes,Yes,No,262.0,3.5
214,Luck Thai,3.5 star rating,88 reviews,$$,$11-30,['Thai'],Yes,"386 5th AveBrooklyn, NY 11215",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,88.0,3.5
215,Lucky Thai BBQ,3.5 star rating,35 reviews,$$,$11-30,"['Thai', 'Barbeque']",Yes,"673 Main StHackensack, NJ 07601",No,,Casual,Yes,Yes,Yes,Lunch,Yes,Yes,Yes,Average,No,,Yes,No,Yes,,Free,35.0,3.5
216,Luckyim Thai truck,4.0 star rating,28 reviews,$,,"['Food Trucks', 'Thai']",No,"46th St & 6th AveNew York, NY 10017",No,Casual,Casual,Yes,No,No,Lunch,No,Yes,No,Very Loud,No,,Yes,No,No,,No,28.0,4.0
217,Luckyim Thai,4.0 star rating,96 reviews,$,,"['Food Trucks', 'Thai']",No,"10 Hanover SqNew York, NY 10005",No,Casual,Casual,No,No,No,Lunch,No,Yes,No,Quiet,No,Street,Yes,No,No,,No,96.0,4.0
218,Lui’s Thai Food,4.0 star rating,146 reviews,$$,$11-30,['Thai'],Yes,"128 E 4th StNew York, NY 10003",No,Intimate,Casual,Yes,Yes,Yes,Dinner,No,No,No,Quiet,No,Street,Yes,No,No,No,No,146.0,4.0
219,Luscious Thai,3.5 star rating,183 reviews,$$,$11-30,['Thai'],Yes,"1099 1st AveNew York, NY 10065",Full Bar,Intimate,Casual,Yes,Yes,Yes,Dinner,Yes,No,No,Quiet,No,Street,Yes,Yes,Yes,Yes,No,183.0,3.5
220,M-Thai,3.5 star rating,172 reviews,$$,$11-30,"['Thai', 'Vietnamese']",Yes,"200 8th AveNew York, NY 10011",Full Bar,Trendy,Casual,Yes,Yes,Yes,Lunch,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,172.0,3.5
221,M.C. Thai,4.0 star rating,6 reviews,,,['Thai'],,"600 Bloomfield AveMontclair, NJ 07042",,,,,,,,,No,,,,,,Yes,,,,6.0,4.0
222,Mahachai,3.0 star rating,15 reviews,$$,,['Thai'],Yes,"268 Prospect Park WBrooklyn, NY 11215",,,Casual,Yes,,Yes,,Yes,Yes,No,,Yes,,Yes,,,,Free,15.0,3.0
223,Malii,4.5 star rating,78 reviews,$$,,['Thai'],Yes,"2028 2nd AveNew York, NY 10029",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,No,No,78.0,4.5
224,Mamu Thai Noodle Truck,4.0 star rating,33 reviews,$,,"['Thai', 'Food Trucks', 'Noodles']",No,"Brooklyn, NY",,,,No,No,,,,,No,,,Street,Yes,,,,,33.0,4.0
225,Mamu Thai,4.0 star rating,71 reviews,$$,$11-30,['Thai'],Yes,"3602 36th AveAstoria, NY 11106",No,Casual,Casual,Yes,Yes,Yes,Lunch,No,Yes,No,Average,No,Street,Yes,No,Yes,,No,71.0,4.0
226,Maple Thai & Chinese Cuisine,,,,,"['Chinese', 'Thai']",,"251 W 72nd StManhattan, NY 10023",,,,,,,,,,,,,,,,,,,,
227,Mee Thai,3.5 star rating,132 reviews,$$,,['Thai'],Yes,"180 5th AveBrooklyn, NY 11217",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,Yes,Free,132.0,3.5
228,Mekong Thai & Vietnamese Restaurant,3.0 star rating,277 reviews,$,,"['Thai', 'Vietnamese']",No,"15632 Northern BlvdFlushing, NY 11354",No,Casual,Casual,Yes,No,No,"Lunch, Dinner",Yes,Yes,No,Average,No,Private Lot,Yes,No,Yes,Yes,No,277.0,3.0
229,Mini Thai Cafe,3.5 star rating,116 reviews,$$,$11-30,"['Thai', 'Cafes']",Yes,"105 Ave ANew York, NY 10009",Full Bar,Casual,Casual,Yes,,Yes,Lunch,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,116.0,3.5
230,Mint,2.5 star rating,7 reviews,,,['Thai'],,"WestburyWestbury, NY 11590",,,,,,Yes,,Yes,Yes,,,,,,Yes,,,,7.0,2.5
231,Mint’s Thai Kitchen,3.5 star rating,176 reviews,$$,$11-30,['Thai'],Yes,"70-15A Austin StForest Hills, NY 11375",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,Free,176.0,3.5
232,Miyabi Asian Fusion,4.5 star rating,187 reviews,$$,$11-30,"['Sushi Bars', 'Japanese', 'Thai']",Yes,"1348 Forest AveStaten Island, NY 10302",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,"Street, Private Lot",Yes,Yes,Yes,Yes,Free,187.0,4.5
233,Miyabi III,4.0 star rating,36 reviews,$$,$11-30,"['Sushi Bars', 'Thai', 'Malaysian']",Yes,"82 Hillside AveWilliston Park, NY 11596",Beer & Wine Only,Trendy,Casual,No,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,Yes,Free,36.0,4.0
234,Momotaro,3.0 star rating,29 reviews,$$,,"['Japanese', 'Thai']",Yes,"6916 18th aveBensonhurst, NY 11204",No,,Casual,Yes,Yes,Yes,,Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,No,Free,29.0,3.0
235,Moon Room,,,,,"['Thai', 'Dance Clubs', 'Venues & Event Spaces']",Yes,"39 Little W 12th StManhattan, NY 10014",Full Bar,,,,Yes,Yes,,,,,,Yes,Street,No,Yes,Yes,No,No,,
236,More Express,3.5 star rating,238 reviews,$$,$11-30,"['Sushi Bars', 'Thai']",Yes,"281 Grove StJersey City, NJ 07302",No,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Average,Yes,Street,Yes,Yes,Yes,Yes,No,238.0,3.5
237,Morris Thai Cuisine,3.5 star rating,83 reviews,$$,,['Thai'],Yes,"1975 Morris AveUnion, NJ 07083",No,Casual,Casual,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,Yes,No,83.0,3.5
238,Mr Thai Restaurant,4.5 star rating,15 reviews,$,,['Thai'],Yes,"378 Metropolitan AveBrooklyn, NY 11211",,,Casual,Yes,,Yes,,No,Yes,No,,No,,Yes,Yes,,,,15.0,4.5
239,Myrtle Thai,3.0 star rating,109 reviews,$$,$11-30,['Thai'],Yes,"438 Myrtle AveBrooklyn, NY 11205",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,No,Yes,Yes,No,109.0,3.0
240,MyThai Cafe,3.5 star rating,267 reviews,$$,$11-30,['Thai'],Yes,"7803 3rd AveBrooklyn, NY 11209",Full Bar,Casual,Casual,Yes,No,Yes,Dinner,Yes,Yes,No,Average,No,,Yes,Yes,Yes,Yes,No,267.0,3.5
241,Mythai Resturant,,,,,['Thai'],,"4th AveNew York, NY 10003",,,,,,,,,,,,,,,,,,,,
242,N Thai Palace,4.0 star rating,225 reviews,$$,,"['Thai', 'Halal', 'Asian Fusion']",Yes,"1020 Rt 18East Brunswick, NJ 08816",No,Casual,Casual,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,No,Average,No,Private Lot,Yes,Yes,Yes,Yes,No,225.0,4.0
243,Nagoya,3.5 star rating,38 reviews,$$,$11-30,"['Sushi Bars', 'Thai']",Yes,"25-73 Francis Lewis BlvdFlushing, NY 11358",No,Casual,Casual,No,No,Yes,Lunch,Yes,Yes,Yes,Quiet,No,Street,Yes,No,Yes,,No,38.0,3.5
244,Nanking Restaurant Jersey City,2.0 star rating,290 reviews,$$,$11-30,"['Chinese', 'Indian', 'Thai']",Yes,"101 Hudson StJersey City, NJ 07302",Full Bar,Trendy,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,290.0,2.0
245,Nanking Restaurant,3.0 star rating,190 reviews,$$,,"['Chinese', 'Thai', 'Indian']",Yes,"2056 Hillside AveNew Hyde Park, NY 11040",Full Bar,Classy,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,Average,No,Private Lot,Yes,Yes,Yes,Yes,No,190.0,3.0
246,Nanking,4.0 star rating,187 reviews,$$,$11-30,"['Indian', 'Thai', 'Chinese']",Yes,"134-07 Rockaway BlvdSouth Ozone Park, NY 11420",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,Free,187.0,4.0
247,National,3.5 star rating,324 reviews,$$,,['Thai'],No,"723 Fulton StBrooklyn, NY 11217",Full Bar,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,Yes,Street,Yes,No,Yes,No,No,324.0,3.5
248,New Peter’s Kitchen,3.5 star rating,54 reviews,$,,"['Japanese', 'Thai', 'Chinese']",Yes,"14909 Union TpkeFlushing, NY 11367",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,No,No,Yes,No,54.0,3.5
249,Ngam,4.0 star rating,1014 reviews,$$,,"['Thai', 'Cooking Schools', 'Comfort Food']",Yes,"99 3rd AveNew York, NY 10003",Full Bar,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,1014.0,4.0
250,Nick?s Kitchen,3.0 star rating,2 reviews,,,['Thai'],,"447 7th AveBrooklyn, NY 11226",,,,,,,,,,,,,,,,,,,2.0,3.0
251,Nikko,3.5 star rating,244 reviews,$$,$11-30,"['Asian Fusion', 'Thai', 'Sushi Bars']",Yes,"1280 Amsterdam AveNew York, NY 10027",Full Bar,Trendy,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,No,244.0,3.5
252,Nine Thai,2.5 star rating,36 reviews,$$,,['Thai'],Yes,"110-70 Queens BlvdForest Hills, NY 11375",Beer & Wine Only,Casual,Casual,Yes,,Yes,,No,No,Yes,Average,No,,Yes,Yes,Yes,,No,36.0,2.5
253,Nine-D,3.5 star rating,107 reviews,$$,,['Thai'],Yes,"462 Court StBrooklyn, NY 11231",Beer & Wine Only,,Casual,Yes,,Yes,Dinner,Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,No,,107.0,3.5
254,No 2 Panda Garden,2.5 star rating,4 reviews,$,,"['Chinese', 'Thai']",Yes,"6416 11th AveBrooklyn, NY 11219",No,,,,,Yes,,Yes,Yes,,,No,,Yes,No,No,Yes,,4.0,2.5
255,Noodies,4.0 star rating,349 reviews,$$,,['Thai'],Yes,"830 9th AveNew York, NY 10019",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",No,Yes,No,Average,No,Street,Yes,No,Yes,No,Free,349.0,4.0
256,Noodle Bar,3.5 star rating,315 reviews,$$,$11-30,"['Asian Fusion', 'Thai', 'Noodles']",No,"26 Carmine StNew York, NY 10014",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",No,No,No,Average,Yes,Street,Yes,No,Yes,No,No,315.0,3.5
257,Noodle Den,3.5 star rating,48 reviews,$$,,"['Thai', 'Noodles']",Yes,"435 Park Ave SNew York, NY 10016",Full Bar,Casual,Casual,Yes,Yes,Yes,Lunch,Yes,Yes,No,Average,No,,Yes,Yes,Yes,,No,48.0,3.5
258,Noodlefan,3.5 star rating,107 reviews,$,,['Thai'],Yes,"1029 Stuyvesant AveUnion, NJ 07083",No,,Casual,No,Yes,Yes,Lunch,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,Free,107.0,3.5
259,Note Thai,2.5 star rating,106 reviews,$$,,['Thai'],Yes,"279 Bushwick AveBrooklyn, NY 11206",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",No,No,No,Quiet,No,Street,Yes,No,No,No,No,106.0,2.5
260,Number One Chinese Restaurant,3.5 star rating,9 reviews,$,,"['Chinese', 'Seafood', 'Thai']",Yes,"6514 Park AveWest New York, NJ 07093",No,,Casual,,No,Yes,,No,Yes,Yes,Quiet,No,,Yes,No,No,,No,9.0,3.5
261,Nur Thai,4.0 star rating,235 reviews,$$,,"['Thai', 'Halal', 'Chinese']",Yes,"63-32 Woodhaven BlvdRego Park, NY 11374",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner, Dessert",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,Free,235.0,4.0
262,Nusara Thai Kitchen,4.0 star rating,181 reviews,$$,$11-30,['Thai'],No,"8280 BroadwayElmhurst, NY 11373",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Private Lot,Yes,Yes,Yes,Yes,No,181.0,4.0
263,NY Thai Grill & Sushi Bar,2.5 star rating,92 reviews,$$,$11-30,"['Sushi Bars', 'Thai']",Yes,"137 E 45th StNew York, NY 10017",Full Bar,,Casual,Yes,No,Yes,Lunch,Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,Yes,No,92.0,2.5
264,Obao,3.5 star rating,563 reviews,$$,$11-30,"['Thai', 'Vietnamese']",Yes,"222 E 53rd StNew York, NY 10022",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,563.0,3.5
265,Ocean Dragon,2.5 star rating,50 reviews,$,,"['Chinese', 'Thai']",Yes,"877 10th AveNew York, NY 10019",No,Casual,Casual,Yes,,Yes,Lunch,Yes,Yes,Yes,Average,No,Street,Yes,No,Yes,No,No,50.0,2.5
266,Okinawa Sushi & Grill,4.0 star rating,164 reviews,$$,$11-30,"['Japanese', 'Sushi Bars', 'Thai']",Yes,"400 Newark StSte 8Hoboken, NJ 07030",No,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,Average,No,Street,Yes,No,Yes,No,No,164.0,4.0
267,One More Thai,3.5 star rating,158 reviews,$$,$11-30,['Thai'],Yes,"6 Clinton StNew York, NY 10002",Beer & Wine Only,Casual,Casual,No,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,No,Free,158.0,3.5
268,One Thai Chef,3.0 star rating,132 reviews,$$,,"['Thai', 'Halal']",Yes,"339 W 44th StNew York, NY 10036",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Quiet,Yes,Street,Yes,Yes,Yes,No,Free,132.0,3.0
269,Opai Thai,3.5 star rating,190 reviews,$$,$11-30,['Thai'],Yes,"722 Amsterdam AveNew York, NY 10025",Full Bar,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,,No,190.0,3.5
270,OTT Authentic Thai Cuisine,3.5 star rating,111 reviews,$$,,['Thai'],Yes,"970 Manhattan AveBrooklyn, NY 11222",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,No,Yes,Yes,No,111.0,3.5
271,Pa De Thai Restaurant,3.5 star rating,179 reviews,$$,,['Thai'],Yes,"264 Old River RdEdgewater, NJ 07020",No,Casual,Casual,No,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,Yes,Street,Yes,Yes,Yes,Yes,No,179.0,3.5
272,Pa Pa Thai Cuisine,1.0 star rating,1 review,,,['Thai'],Yes,"1069 1st AveNew York, NY 10022",,,,,,,,Yes,,,,,,Yes,Yes,,,,1.0,1.0
273,Pad Thai Noodle Lounge,3.5 star rating,236 reviews,$$,$11-30,"['Thai', 'Noodles']",Yes,"114 8th AveNew York, NY 10011",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,236.0,3.5
274,Pad Thai,3.0 star rating,128 reviews,$$,$11-30,"['Thai', 'Japanese']",Yes,"409 8th AveNew York, NY 10001",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Lunch,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,128.0,3.0
275,Pam Real Thai Food,3.5 star rating,557 reviews,$$,$11-30,['Thai'],No,"404 W 49th StNew York, NY 10019",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,No,Yes,Yes,No,557.0,3.5
276,Pandan Asian Cuisine & Delicacies,4.0 star rating,92 reviews,$$,,"['Asian Fusion', 'Filipino', 'Thai']",Yes,"406 Broad StBloomfield, NJ 07003",No,Casual,Casual,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,92.0,4.0
277,Paya Thia Video,3.0 star rating,1 review,,,['Thai'],,"6404 39th AveWoodside, NY 11377",,,,,,,,,,,,,,,,,,,1.0,3.0
278,Peak Thai Restaurant,3.5 star rating,113 reviews,$$,$11-30,['Thai'],Yes,"301 E 49th StNew York, NY 10017",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Lunch,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,113.0,3.5
279,Peking Taste Restaurant,3.5 star rating,25 reviews,$,,"['Szechuan', 'Thai']",Yes,"2343 Richmond AveStaten Island, NY 10314",No,,Casual,Yes,Yes,Yes,Lunch,No,Yes,Yes,Loud,No,Private Lot,Yes,No,Yes,,No,25.0,3.5
280,Penang Malaysian & Thai Cuisine,3.5 star rating,293 reviews,$$,,"['Malaysian', 'Thai', 'Chinese']",Yes,"505 Old Post RdEdison, NJ 08817",No,Casual,Casual,No,Yes,No,"Lunch, Dinner",Yes,Yes,No,Average,No,Private Lot,Yes,Yes,Yes,Yes,Free,293.0,3.5
281,Penang,,,,,['Thai'],,"541 La Guardia PlNew York, NY 10012",,,,,,,,,,,,,,,,,,,,
282,Pho Thai Lao Kitchen,4.0 star rating,164 reviews,$$,,"['Thai', 'Laotian']",Yes,"219 Maywood AveMaywood, NJ 07607",Beer & Wine Only,Casual,Casual,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Average,No,"Street, Private Lot",Yes,Yes,Yes,Yes,Free,164.0,4.0
283,Pig and Khao,4.0 star rating,889 reviews,$$,,"['Filipino', 'Thai', 'Asian Fusion']",Yes,"68 Clinton StNew York, NY 10002",Full Bar,Casual,Casual,No,No,No,Dinner,Yes,No,No,Average,Yes,Street,No,Yes,Yes,Yes,No,889.0,4.0
284,Pimaan Thai Restaurant,4.0 star rating,152 reviews,$$,,['Thai'],Yes,"79 Kinderkamack RdEmerson, NJ 07630",No,Casual,Casual,No,Yes,No,"Lunch, Dinner",Yes,Yes,No,Average,No,Private Lot,Yes,Yes,Yes,Yes,No,152.0,4.0
285,Pinto Garden,5.0 star rating,9 reviews,$$$,,['Thai'],Yes,"117 W 10th StNew York, NY 10011",Beer & Wine Only,Casual,Casual,No,Yes,No,,Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,No,No,9.0,5.0
286,Pinto Restaurant,4.0 star rating,82 reviews,$$,$11-30,"['Thai', 'Desserts', 'Seafood']",Yes,"128 Montague StBrooklyn Heights, NY 11201",Beer & Wine Only,Romantic,Casual,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,82.0,4.0
287,Playground Authentic Thai Cuisine,4.0 star rating,88 reviews,$$,,"['Karaoke', 'Thai', 'Bars']",No,"71-30 Roosevelt AveJackson Heights, NY 11372",Full Bar,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,No,Yes,Average,No,Street,Yes,No,Yes,No,No,88.0,4.0
288,Ploi Thai,3.0 star rating,95 reviews,$$,$11-30,['Thai'],Yes,"245 Paterson AveEast Rutherford, NJ 07073",No,,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Quiet,No,Private Lot,Yes,Yes,Yes,Yes,No,95.0,3.0
289,Ploy Thai,3.5 star rating,97 reviews,$,,['Thai'],Yes,"8140 BroadwayElmhurst, NY 11373",No,Divey,Casual,Yes,Yes,Yes,"Lunch, Dinner",No,Yes,No,Average,No,Street,Yes,No,Yes,Yes,No,97.0,3.5
290,Pochana Thai Kitchen,3.5 star rating,138 reviews,$$,,['Thai'],Yes,"33-16 30th AveAstoria, NY 11103",No,,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Quiet,No,Street,Yes,No,Yes,Yes,No,138.0,3.5
291,Pok Pok NY,3.5 star rating,398 reviews,$$,,['Thai'],Yes,"117 Columbia StBrooklyn, NY 11231",Full Bar,Hipster,Casual,Yes,Yes,No,Dinner,Yes,Yes,No,Average,Yes,Street,Yes,Yes,Yes,No,No,398.0,3.5
292,Pongsri Thai Restaurant,3.5 star rating,386 reviews,$$,,['Thai'],Yes,"244 W 48th StNew York, NY 10036",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,No,386.0,3.5
293,Port Thai Place,4.0 star rating,36 reviews,$$,,['Thai'],Yes,"24B Main StPort Washington, NY 11050",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Quiet,No,"Street, Private Lot",Yes,Yes,Yes,Yes,No,36.0,4.0
294,Potjanee Thai Restaurant,3.5 star rating,250 reviews,$$,$11-30,['Thai'],Yes,"48 Carmine StNew York, NY 10014",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,250.0,3.5
295,Potluck,3.0 star rating,46 reviews,$$,$11-30,"['Asian Fusion', 'Szechuan', 'Thai']",Yes,"255 W 26th StNew York, NY 10001",Beer & Wine Only,,Casual,,Yes,Yes,Lunch,Yes,Yes,No,Very Loud,No,"Garage, Street",Yes,Yes,Yes,Yes,Free,46.0,3.0
296,Poy Laung Thai Restaurant,1.0 star rating,1 review,,,['Thai'],,"206 Bedford AvenueBrooklyn, NY 11211",,,,,,,,,,,,,,,,,,,1.0,1.0
297,Pr&ince,4.5 star rating,149 reviews,$$,$11-30,['Thai'],Yes,"311 Baldwin AveJersey City, NJ 07306",No,Casual,Casual,Yes,No,No,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,No,Yes,,No,149.0,4.5
298,Prik Thai Kitchen,3.5 star rating,72 reviews,$,Under $10,['Thai'],Yes,"4716 30th AveAstoria, NY 11103",No,Casual,Casual,Yes,,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,,No,72.0,3.5
299,Pro Thai,4.0 star rating,92 reviews,$$,$11-30,"['Thai', 'Asian Fusion']",Yes,"1575 Lexington AveNew York, NY 10029",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,No,Free,92.0,4.0
300,Puff Cha Ramen,4.0 star rating,390 reviews,$,Under $10,"['Thai', 'Bubble Tea', 'Ramen']",Yes,"457 W 50th StNew York, NY 10019",No,Casual,Casual,Yes,Yes,Yes,Lunch,No,Yes,No,Average,No,"Valet, Garage, Street",Yes,Yes,Yes,No,Free,390.0,4.0
301,Pure Thai Cookhouse,4.0 star rating,1796 reviews,$$,,['Thai'],Yes,"766 9th AveNew York, NY 10019",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",No,No,No,Average,No,Street,Yes,No,Yes,Yes,No,1796.0,4.0
302,PuTawn Local Thai Kitchen,4.5 star rating,23 reviews,$$,$11-30,['Thai'],Yes,"15841st Avenue ( 82 & 83 St)New York, NY 10028",Beer & Wine Only,,Casual,No,,Yes,,Yes,Yes,No,,No,,Yes,Yes,Yes,,,23.0,4.5
303,Pye Boat Noodle,4.5 star rating,169 reviews,$$,,"['Thai', 'Noodles']",Yes,"1711 Second AveNew York, NY 10128",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,169.0,4.5
